Geneid	Start	End	gene_name	4GC00A11	4GC00A12	4GC00A13	4GC02A11	4GC02A12	4GC02A13	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	M_minus	M_plus	Log2fold	Obs_log(1/p)	GalNAc_gene	YmN
gene-b1900	1983555	1985069	araG	22.2435857	23.78143579	21.02351587	30.34933344	33.72254779	27.26584682	495.5574605	0.442743705	0.121795579	3.635137724	0.000277832	0.053331148	22.34951245	30.44590935	0.446005044	1.789533251	FALSE	TRUE
gene-b3864	4049899	4050007	spf	598.8492109	161.4008708	107.4485282	121.8358487	114.0111428	100.1989421	154.0030121	-1.375262358	0.395885049	-3.473893144	0.000512965	0.094184885	289.23287	112.0153112	-1.368535572	0.496710037	FALSE	FALSE
gene-b2942	3086706	3087860	metK	190.1678181	183.7201907	218.0135289	149.0391875	140.634183	125.6431431	2544.023518	-0.510995084	0.147724691	-3.459104103	0.000541975	0.095365085	197.3005126	138.4388379	-0.511145968	2.027772375	FALSE	FALSE
gene-b2695	2818553	2818645	serV	188.6232477	168.4379393	136.6847853	66.00986691	72.88688897	115.1119753	220.0769794	-0.95725046	0.280438875	-3.413401438	0.000641574	0.108374613	164.5819908	84.66957706	-0.958890891	1.684717108	FALSE	FALSE
gene-b4452	3664864	3664968	gadY	1742.765351	1052.348418	767.1899793	629.9997094	700.562553	670.4400502	657.3881292	-0.833911362	0.248863444	-3.350879304	0.000805554	0.130840566	1187.434583	667.0007709	-0.832087702	0.831173666	FALSE	FALSE
gene-b4164	4392472	4392547	glyX	202.8744917	90.37343282	71.41396084	67.58743892	52.85365048	59.75908767	85.06380304	-1.038375541	0.321576464	-3.229015975	0.00124217	0.19428452	121.5539618	60.06672569	-1.016958988	0.677165715	FALSE	FALSE
gene-b3315	3449901	3450233	rplV	331.5977018	147.998935	223.8924178	170.8076608	103.286826	104.5634487	1183.489139	-0.895630453	0.279069687	-3.20934338	0.001330385	0.200650574	234.4963515	126.2193118	-0.893632814	0.872789369	FALSE	FALSE
gene-b1310	1371909	1373201	ycjN	2.284946412	2.516197665	1.988323736	0.775152564	0.776658437	1.254472065	29.8521104	-1.263309186	0.399940338	-3.158744106	0.001584506	0.230736784	2.263155938	0.935427689	-1.274637955	2.413836447	FALSE	FALSE
gene-b2083	2167602	2167820	yegZ	3.372643506	7.703062767	7.82618749	1.144146421	2.292738263	0.987538739	11.63581973	-2.074091162	0.660539166	-3.139997245	0.001689494	0.232828662	6.300631254	1.474807808	-2.094969419	1.471391524	FALSE	FALSE
gene-b3150	3296409	3296984	yraP	103.7065921	91.21022386	80.83663623	69.16722662	74.96776466	67.39694725	665.4717518	-0.388657533	0.123910091	-3.136609209	0.001709138	0.232828662	91.9178174	70.51064618	-0.38250344	1.424167213	FALSE	FALSE
gene-b0757	788831	789979	galK	156.0464031	189.5036764	199.0143626	243.8077442	224.0702682	211.8476871	1359.647659	0.321362008	0.104878293	3.06414223	0.002182951	0.288081316	181.5214807	226.5752332	0.319849887	1.317344702	FALSE	TRUE
gene-b2674	2800965	2801375	nrdI	7.188408056	10.5545615	5.907724255	8.535165273	13.43845858	23.41620142	150.2332179	0.948076265	0.310897094	3.049485773	0.002292335	0.293349403	7.883564604	15.12994176	0.940486428	0.721891126	FALSE	TRUE
gene-b2724	2849238	2849849	hycB	27.45645932	13.38865671	27.07195901	15.35343543	11.28105898	12.19174664	618.1874393	-0.809294756	0.26624303	-3.039684286	0.002368263	0.294152151	22.63902501	12.94208035	-0.806742288	0.947560549	FALSE	FALSE
gene-b2289	2405703	2406641	lrhA	262.2297671	257.1648695	227.2469808	207.0722251	211.7523249	204.1791558	2095.234848	-0.262625494	0.086715983	-3.028570783	0.002457135	0.296470898	248.8805391	207.6679019	-0.261175181	1.681530411	FALSE	FALSE
gene-b3149	3295809	3296399	diaA	69.83041259	60.3508993	61.1429174	52.36067036	47.57722852	48.30417916	451.7326077	-0.372927557	0.125338644	-2.975359764	0.002926451	0.339435227	63.7747431	49.41402601	-0.368064578	1.879700501	FALSE	FALSE
gene-b4008	4209774	4209849	gltV	12.14817315	14.26948939	5.637944277	1.64847412	1.651676578	1.422835421	9.106202657	-2.805040266	0.944326042	-2.970415029	0.002973977	0.339435227	10.68520227	1.574328706	-2.762805519	1.606588526	FALSE	FALSE
gene-b0759	791039	792055	galE	206.2585403	227.3701968	301.385172	415.7655966	304.7465091	300.3763666	1403.641532	0.474814986	0.161629632	2.937672877	0.003306857	0.367411289	245.0046364	340.2961574	0.47398181	0.937909671	FALSE	TRUE
gene-b0756	787797	788837	galM	151.0387853	164.2521949	172.7380916	210.6119673	208.850616	186.8739194	1387.239248	0.313948763	0.107161394	2.929681582	0.003393095	0.367411289	162.6763573	202.1121676	0.313151587	1.785196618	FALSE	TRUE
gene-b2254	2367071	2368039	arnC	19.72291641	37.55456032	24.46794118	58.69860788	26.42682524	70.19321409	561.1760072	0.928130004	0.326148203	2.845730855	0.004430963	0.467798903	27.24847264	51.7728824	0.926021277	0.801470351	FALSE	TRUE
gene-b0161	180884	182308	degP	66.21564247	99.2733662	30.06903614	24.08970181	39.90450612	37.03166322	1156.50368	-0.953460147	0.337308923	-2.82666743	0.004703515	0.484462028	65.18601494	33.67529038	-0.952872094	0.6983797	FALSE	FALSE
gene-b2028	2098447	2099613	ugd	19.3038323	22.0964463	18.48073365	34.2464495	16.8875792	59.11777539	472.5480688	0.882131535	0.313828401	2.810872226	0.00494074	0.496779669	19.96033742	36.75060136	0.880631749	0.612453009	FALSE	TRUE
gene-b1787	1873574	1874077	yeaK	109.7288561	77.46294241	104.2870539	85.75990362	70.48464252	68.44290067	432.0079323	-0.378548729	0.135475703	-2.794218593	0.00520253	0.510936827	97.15961747	74.8958156	-0.375471692	0.914158748	FALSE	FALSE
gene-b3317	3450543	3451364	rplB	242.9457285	147.3240876	183.3132085	143.2688457	100.7884393	111.4242843	3087.271802	-0.690911854	0.251499635	-2.747168422	0.006011226	0.576941048	191.1943415	118.4938564	-0.690227565	1.114884935	FALSE	FALSE
gene-b3143	3288090	3288785	yraI	9.285672583	5.713262994	9.234563902	12.24039404	15.33021651	11.80789855	385.679893	0.69538714	0.254219769	2.735377911	0.00623087	0.584732492	8.07783316	13.1261697	0.700405736	1.446963256	FALSE	TRUE
gene-b3312	3448568	3448759	rpmC	753.5157486	314.424235	511.8000527	429.3588218	271.9760764	225.2822749	1174.580281	-0.77135149	0.282821543	-2.727343476	0.006384654	0.586139003	526.5800121	308.872391	-0.769641841	0.703497098	FALSE	FALSE
gene-b1490	1565758	1567140	dosC	44.39397478	44.78374979	47.40275926	64.68026005	55.54792551	58.01629432	561.4115342	0.384782482	0.142063793	2.708518991	0.006758424	0.60533652	45.52682794	59.41482663	0.384106048	2.066721614	FALSE	TRUE
gene-b4702	4467431	4467484	mgtL	588.1515536	575.7122387	444.3535341	313.2100828	402.15266	276.3462573	397.7407786	-0.701327156	0.259503249	-2.702575628	0.006880453	0.60533652	536.0724421	330.5696667	-0.697473624	1.591464907	FALSE	FALSE
gene-b3313	3448759	3449169	rplP	461.8552176	196.1389345	277.66304	249.3487569	179.8920932	132.6041069	1554.439069	-0.73749919	0.274050556	-2.69110635	0.007121549	0.613761241	311.8857307	187.2816523	-0.73580798	0.659244273	FALSE	FALSE
gene-b2112	2192515	2192796	yehE	61.55074398	61.10355032	67.36210491	45.75977096	44.95840216	46.39856216	158.2494464	-0.467451552	0.174387178	-2.680538549	0.00735038	0.620813077	63.33879974	45.70557843	-0.47071927	2.991520209	FALSE	FALSE
gene-b3316	3450248	3450526	rpsS	299.1498525	139.069273	212.4501344	175.5772651	98.9821949	118.2126346	1160.084122	-0.73027535	0.274605577	-2.659360955	0.007828904	0.648263934	216.8897533	130.9240315	-0.728231963	0.765759208	FALSE	FALSE
gene-b3300	3442766	3444097	secY	877.6526129	686.0781927	809.8943637	702.0420595	568.7372215	509.6656296	8626.16955	-0.415003493	0.15651374	-2.651546705	0.008012403	0.650699579	791.2083898	593.4816369	-0.414854333	1.163773958	FALSE	FALSE
gene-b0455	476448	476561	ffs	259.9709055	105.6999214	81.43697289	49.4542236	75.97712257	83.47301135	336.5646891	-1.10334586	0.419631736	-2.629319392	0.008555596	0.681703466	149.0359333	69.63478584	-1.097780128	0.628861568	FALSE	FALSE
gene-b4609	2734153	2734295	ryfD	1464.950749	1227.730458	813.0204773	708.7747049	739.9973075	700.2340249	763.3727395	-0.706822289	0.272156076	-2.597121103	0.009400877	0.725375005	1168.567228	716.3353458	-0.7060337	1.114082425	FALSE	FALSE
gene-b3311	3448314	3448568	rpsQ	451.4928102	202.2474732	263.2514635	226.0025696	184.5991469	145.4528382	785.1896426	-0.724185409	0.279023127	-2.595431486	0.009447224	0.725375005	305.6639156	185.3515182	-0.721682316	0.698348005	FALSE	FALSE
gene-b4309	4536614	4537594	nanS	5.458628671	7.86122963	6.697333738	9.706000527	8.189352572	10.14114706	126.4507849	0.503779203	0.19477009	2.586532689	0.009694697	0.731084058	6.672397346	9.345500053	0.486066656	1.36932136	FALSE	TRUE
gene-b2675	2801348	2803492	nrdE	13.17099836	21.2345968	17.31247536	19.04083674	26.86111223	35.99475117	1204.553521	0.665895081	0.259084611	2.570183847	0.010164456	0.747853128	17.23935684	27.29890005	0.66313687	0.862472408	FALSE	TRUE
gene-b4459	4277927	4278066	ryjA	302.0382937	248.7421151	227.5044753	189.7158216	199.9472474	204.6850384	273.2123622	-0.394363641	0.153654482	-2.566561253	0.010271248	0.747853128	259.4282947	198.1160358	-0.388990178	1.272373074	FALSE	FALSE
gene-b1937	2012700	2013014	fliE	8.499864645	3.82533049	3.627375789	14.31817521	8.766994406	8.582181903	42.98534373	0.921372993	0.360202262	2.557932277	0.01052966	0.753673775	5.317523641	10.55578384	0.989207265	0.996629746	FALSE	TRUE
gene-b4676	1878773	1878871	yoaK	103.5171603	40.16597014	79.34884538	40.49584909	35.50270462	50.24477405	56.39126022	-0.825715731	0.324122368	-2.547543188	0.010848442	0.763549537	74.34399194	42.08110925	-0.821043422	0.785085562	FALSE	FALSE
gene-b2252	2365018	2365620	ais	6.583786048	17.18543996	10.4219379	28.25643201	6.245145269	55.05405644	156.107356	1.394188573	0.551238556	2.529192775	0.011432521	0.775181799	11.39705464	29.85187791	1.389160657	0.567655799	FALSE	TRUE
gene-b3462	3601028	3602086	ftsX	41.41161953	26.05667751	36.68479197	30.40415157	26.07746211	19.60530166	370.9355198	-0.458345869	0.181487899	-2.525489964	0.011553708	0.775181799	34.71769634	25.36230511	-0.452985348	0.781712062	FALSE	FALSE
gene-b3314	3449182	3449883	rpsC	436.6420299	198.4267585	297.4564409	275.9104205	159.3232637	128.9307789	2793.673491	-0.72581338	0.287432062	-2.525164992	0.011564398	0.775181799	310.8417431	188.054821	-0.725026965	0.677406502	FALSE	FALSE
gene-b2086	2168712	2169611	yegS	43.39327451	53.01908059	34.91349197	52.48008943	51.18729234	77.37695203	482.5613252	0.462958705	0.184190653	2.513475564	0.011954806	0.7888304	43.77528236	60.34811127	0.463192135	0.762496749	FALSE	TRUE
gene-b0758	789983	791029	galT	199.1140113	168.6050036	220.7216593	309.9194325	240.0247322	221.228485	1012.938078	0.390226105	0.156150616	2.4990366	0.012453145	0.792934399	196.1468914	257.0575499	0.390156914	0.919902929	FALSE	TRUE
gene-b4230	4452571	4453596	ytfT	36.35453299	36.9949725	33.27083166	48.96578682	44.6564408	54.59472207	259.4517207	0.474887217	0.190094614	2.498162406	0.012483899	0.792934399	35.54011238	49.4056499	0.475227791	1.957308912	FALSE	TRUE
gene-b3166	3311833	3312777	truB	49.33829478	36.46815067	44.28421275	37.51892209	32.2784794	31.92571668	408.0204955	-0.358752376	0.143763494	-2.495434455	0.012580299	0.792934399	43.36355273	33.90770606	-0.354869774	1.068958702	FALSE	FALSE
gene-b2368	2482176	2483339	emrK	1.982949226	1.552808124	2.208679201	2.47554361	2.803877077	4.180495824	68.78413945	0.738672441	0.296848344	2.488383227	0.012832537	0.796938297	1.914812184	3.153305504	0.719662059	1.045333075	FALSE	TRUE
gene-b2941	3086399	3086650	yqgD	54.22327446	32.51530916	31.73953815	22.86930763	25.90248347	24.03010933	102.4219989	-0.715654448	0.288612595	-2.479636924	0.013151622	0.804917414	39.49270726	24.26730014	-0.702572659	0.96058803	FALSE	FALSE
gene-b3089	3239944	3241188	sstT	100.1126559	99.68903432	100.6105119	122.56703	116.7556243	159.2935681	929.5010568	0.408586005	0.165924017	2.46248862	0.013797655	0.832392824	100.1374007	132.8720741	0.408057011	1.1557232	FALSE	TRUE
gene-b4132	4358697	4360031	cadB	24.2745069	18.59368505	36.37565047	25.71372665	15.4205969	9.963045328	307.402287	-0.633058118	0.258787422	-2.446247634	0.014435182	0.851594015	26.41461414	17.03245629	-0.633049831	0.601242317	FALSE	FALSE
gene-b4699	1409129	1409247	fnrS	12502.04229	12555.0722	9933.141848	7087.496731	8525.31603	7391.378922	7473.815347	-0.605106043	0.24757284	-2.444153579	0.014519244	0.851594015	11663.41878	7668.063894	-0.60505647	1.835504798	FALSE	FALSE
gene-b3992	4192821	4193576	thiF	19.05142076	9.722714994	7.557032893	6.13162596	9.630410521	5.578418237	96.6403787	-0.789508371	0.326999828	-2.414399956	0.015761151	0.890789161	12.11038955	7.113484906	-0.767616856	0.596398078	FALSE	FALSE
gene-b3147	3293400	3295436	lpoA	55.52257833	41.940608	50.76456323	42.92992397	37.96018196	36.94762023	1611.79613	-0.33249635	0.137732876	-2.414066701	0.015775574	0.890789161	49.40924985	39.27924205	-0.331014061	1.085491172	FALSE	FALSE
gene-b0622	656557	657117	pagP	22.71123708	25.7749541	29.78764142	35.50830885	32.66845509	43.94811439	214.5203632	0.526935523	0.21875321	2.408812759	0.016004507	0.890789161	26.09127753	37.37495944	0.518504428	1.333662229	FALSE	TRUE
gene-b0746	781068	781143	valZ	162.7855203	118.9124116	142.8279217	95.61149896	110.6623307	102.4441503	81.8248788	-0.467589009	0.194395561	-2.405348176	0.016157064	0.890789161	141.5086179	102.9059933	-0.459562907	1.346272372	FALSE	FALSE
gene-b3130	3277337	3277801	yhaV	414.5740433	414.8756013	411.2829831	529.9649315	525.0555521	466.7267363	1962.355658	0.294231041	0.122570207	2.400510274	0.016372231	0.890789161	413.5775426	507.2490733	0.294536475	2.000150128	FALSE	TRUE
gene-b3536	3696458	3698029	bcsE	37.41204572	41.77567505	41.97614492	45.26802215	51.1053109	51.45378371	695.8311317	0.289526439	0.120924044	2.394283465	0.016652873	0.890789161	40.38795523	49.27570559	0.286951423	1.626228584	FALSE	TRUE
gene-b2328	2445560	2446384	mepA	37.37808816	28.9194985	21.12121993	22.32333681	18.2585338	24.77285816	355.3017874	-0.429502199	0.179404991	-2.394037073	0.016664064	0.890789161	29.1396022	21.78490959	-0.419652056	0.657466721	FALSE	FALSE
gene-b3598	3771382	3771744	yibI	70.707053	106.2240533	87.74277283	110.7883599	133.1351423	104.262871	317.6403648	0.398765943	0.167308375	2.383418896	0.017152664	0.905446232	88.22462638	116.0621244	0.395643921	0.967578805	FALSE	TRUE
gene-b4691	4190327	4190487	sroH	56.19850537	58.37786964	38.14658778	29.57014446	35.0853037	32.91080191	57.74726769	-0.655753453	0.275705537	-2.378455871	0.017385318	0.90639749	50.90765426	32.52208336	-0.646462911	1.303443388	FALSE	FALSE
gene-b2574	2710420	2712042	nadB	115.9338412	102.01117	97.68268211	28.79294168	61.10083901	81.01833533	1168.714092	-0.884721674	0.373154904	-2.370923346	0.017743711	0.913801097	105.2092311	56.97070534	-0.88496912	1.390385987	FALSE	FALSE
gene-b1608	1682159	1682878	rstA	115.1511835	131.376194	135.8848977	76.73647029	82.46454113	115.1943366	2337.615407	-0.477021958	0.202488485	-2.355797953	0.018482968	0.935128913	127.4707584	91.46511601	-0.478872811	1.249064296	FALSE	FALSE
gene-b1503	1587793	1588296	ydeR	1.282307166	0.717249467	0.8501662	1.242897154	1.743436387	4.291090951	15.53727026	1.3421867	0.570308964	2.353437847	0.018600717	0.935128913	0.949907611	2.425808164	1.352606357	0.701892301	FALSE	TRUE
gene-b4231	4453583	4454578	yjfF	26.41861752	32.18116885	26.52928264	33.45939037	37.43136919	41.90793163	239.3412329	0.407694028	0.17401398	2.342880885	0.019135491	0.950696226	28.37635634	37.59956373	0.40602657	1.390248449	FALSE	TRUE
gene-b2721	2844762	2846471	hycE	248.9565618	178.6328672	307.9570452	222.72717	142.2644092	122.0476605	3537.984533	-0.594804956	0.256237471	-2.321303571	0.020270466	0.995374145	245.1821581	162.3464132	-0.594778487	0.79001271	FALSE	FALSE
gene-b0750	782085	783128	nadA	242.4887069	213.6414101	196.7304132	60.84195861	131.1785585	154.5384617	1555.723289	-0.913571351	0.395348648	-2.31079923	0.020843947	0.996934087	217.6201767	115.5196596	-0.913673927	1.514057916	FALSE	FALSE
gene-b2401	2520931	2521006	valU	115.407645	155.3788845	82.6898494	65.9389648	57.80868022	102.4441503	83.70224237	-0.641087769	0.278104174	-2.30520729	0.021154967	0.996934087	117.8254596	75.39726511	-0.644067211	0.779209429	FALSE	FALSE
gene-b2984	3132454	3133212	yghR	1.216417865	2.222622854	1.31725356	3.301292045	2.480779049	3.134362086	25.25908127	0.921566569	0.399900428	2.30449008	0.021195149	0.996934087	1.585431426	2.972144393	0.906628728	1.569598744	FALSE	TRUE
gene-b1329	1393227	1394840	mppA	40.44272862	34.0440193	39.46793871	45.64251021	42.93131089	51.58880348	861.9642587	0.298945989	0.130012259	2.299367699	0.021484069	0.996934087	37.98489554	46.72087486	0.298641435	1.265124141	FALSE	TRUE
gene-b3732	3915993	3917375	atpD	118.7622273	68.30828761	72.29178972	70.29675322	63.35367975	51.44841194	1697.204261	-0.488924824	0.212831929	-2.297234377	0.021605403	0.996934087	86.45410154	61.69961497	-0.486672923	0.654857205	FALSE	FALSE
gene-b3778	3960677	3962698	rep	12.10010917	12.51461978	11.65509747	12.88777393	16.51349836	15.24164946	380.0267634	0.299017494	0.130276524	2.295252322	0.021718668	0.996934087	12.08994214	14.88097392	0.29966161	1.202684326	FALSE	TRUE
gene-b2563	2700618	2700998	acpS	12.11628818	13.5995017	14.99505739	10.52254346	9.884048811	7.095504723	52.77219432	-0.563802518	0.247657381	-2.276542353	0.022813569	1	13.57028242	9.167365665	-0.565871621	1.517164626	FALSE	FALSE
gene-b1198	1247696	1249114	dhaM	427.8622541	359.4557116	314.5435203	323.4959107	293.3396225	299.792125	2462.690928	-0.266306181	0.117027192	-2.275592327	0.022870421	1	367.287162	305.5425527	-0.265535152	0.837729076	FALSE	FALSE
gene-b2725	2849974	2850435	hycA	40.76737588	28.1683427	37.40731282	26.84657853	20.64953228	20.83129607	842.4856366	-0.640971283	0.282320148	-2.270370317	0.023185124	1	35.44767713	22.77580229	-0.638189217	1.381164105	FALSE	FALSE
gene-b1950	2022893	2023678	fliR	5.873162593	11.03797653	11.81146935	8.288511097	12.77632773	29.71662375	101.4423217	0.837417737	0.369137601	2.268578803	0.023293952	1	9.574202824	16.92715419	0.822115172	0.469171149	FALSE	TRUE
gene-b0964	1027111	1027773	yccT	69.20977321	83.9668697	88.10953238	106.9543933	104.1328521	93.78266649	552.406758	0.340204171	0.150254197	2.264190797	0.023562382	1	80.4287251	101.623304	0.337448518	1.411387246	FALSE	TRUE
gene-b0551	573956	574339	ybcQ	10.09816893	9.727695893	11.90232681	5.872689053	10.46061832	3.660836968	38.21040287	-0.678862328	0.300152982	-2.261721085	0.023714641	1	10.57606388	6.66471478	-0.666187755	0.861085266	FALSE	FALSE
gene-b3090	3241193	3241744	ygjV	23.41604391	27.2866645	21.99342997	34.27153805	22.96787937	41.53029764	118.1990399	0.445576572	0.197038573	2.261367227	0.023736526	1	24.23204613	32.92323835	0.442190018	0.704707863	FALSE	TRUE
gene-b2722	2846489	2847412	hycD	78.73699068	82.28807519	137.8815002	85.69210923	59.09570093	48.09922857	1544.455473	-0.631202245	0.279643886	-2.257164473	0.023997799	1	99.63552202	64.29567958	-0.631938386	0.730332341	FALSE	FALSE
gene-b2321	2437950	2438945	flk	13.90453554	12.09818378	14.19675125	18.99386446	12.47712306	24.53676826	219.0407751	0.483031672	0.214680183	2.250005873	0.024448573	1	13.39982352	18.66925193	0.47845012	0.674686671	FALSE	TRUE
gene-b3969	4168372	4168447	gltT	13.36299047	3.170997643	9.396573795	1.64847412	3.303353155	1.422835421	9.371841213	-2.077404567	0.92420659	-2.247770779	0.02459081	1	8.643520636	2.124887565	-2.024232558	1.011310673	FALSE	FALSE
gene-b3304	3445244	3445597	rplR	600.6413703	367.6207437	446.6398568	429.6463735	316.6553276	300.2745441	1673.095369	-0.436308716	0.19444896	-2.243821288	0.024843902	1	471.6339903	348.8587484	-0.435024683	0.703752093	FALSE	FALSE
gene-b4114	4333947	4335590	eptA	17.63406351	55.99781239	35.27258893	74.68269614	23.36459276	156.612291	1223.190243	1.226257759	0.547589792	2.239372935	0.025131661	1	36.30148828	84.88652663	1.225506888	0.530202325	FALSE	TRUE
gene-b4604	2303606	2303770	yojO	10.07193992	17.52696879	15.58122782	7.592971704	8.36849466	6.55366618	42.52478379	-0.922673232	0.412223642	-2.238283153	0.025202596	1	14.39337884	7.505044181	-0.939472834	1.399977066	FALSE	FALSE
gene-b3119	3267380	3267598	tdcR	12.64741315	4.401750152	1.304364582	2.288292842	4.01229196	0.49376937	7.112097611	-1.529810779	0.686384927	-2.22879425	0.025827598	1	6.117842628	2.264784724	-1.433649073	0.472520206	FALSE	FALSE
gene-b2673	2800723	2800968	nrdH	71.30878876	148.418158	99.28282361	88.61553562	220.94867	194.2922254	735.2627552	0.662157496	0.297898537	2.222761827	0.026231864	1	106.3365901	167.9521437	0.6594121	0.595554556	FALSE	TRUE
gene-b1788	1874078	1874182	yoaI	43.96481713	67.70834966	47.60930723	33.4090755	33.47397864	39.13474948	45.95115724	-0.576115191	0.259256605	-2.222181342	0.026271053	1	53.09415801	35.33926787	-0.587280977	1.095200328	FALSE	FALSE
gene-b4149	4377189	4377722	blc	126.2136042	108.989683	104.0450591	132.3224619	152.7955486	141.548144	937.4061101	0.328191202	0.147876361	2.219362169	0.026462095	1	113.0827821	142.2220515	0.330765889	1.505096049	FALSE	TRUE
