Geneid	Start	end	gene_names	5GA00A11	5GA00A12	5GA00A13	5GA02A11	5GA02A12	5GA02A13	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	M_minus	M_plus	Log2fold	Obs_log(1/p)	GalNAc_gene	YmN	Rank	Exp_log(1/p)
a4-8-110_07230	1464404	1464772	inference=ab initio prediction:Prodigal:2.6.3	158.0693329	148.4684723	138.1595306	17.51724589	19.98213836	15.88824947	552.8809988	-3.060576978	0.207403883	-14.75660407	2.79E-49	6.84E-47	148.2324453	17.79587791	-3.05824625	4.61457337	FALSE	FALSE	11	2.323533349
a4-8-110_07255	1468659	1469624	inference=ab initio prediction:Prodigal:2.6.3	53.44023172	56.79996218	56.13222835	13.97564688	18.4307301	17.96129663	422.1097831	-1.724742351	0.163066275	-10.57694091	3.81E-26	4.01E-24	55.45747408	16.78922454	-1.723846311	4.608015247	FALSE	FALSE	12	2.285744788
a4-8-110_09820	1925308	1927128	"glmS, GFPT"	167.5159578	157.7046061	160.8532332	271.7932958	275.9806539	287.5388311	5304.451097	0.781150358	0.191258641	4.084261773	4.42E-05	0.000947879	162.024599	278.4375936	0.781141148	4.522776804	FALSE	TRUE	13	2.250982681
a4-8-110_04915	1005984	1006823	gene=COG2604	402.8577988	419.8854697	410.1165813	760.1566092	801.7833016	746.7101517	2741.029788	0.905034435	0.250981317	3.60598329	0.000310973	0.005004044	410.9532833	769.5500208	0.905040706	4.495201192	FALSE	TRUE	14	2.218797998
a4-8-110_04855	993498	994793	pepM	850.7787227	903.836877	919.3007772	1681.309141	1734.144327	1620.415069	9486.367905	0.913277983	0.177639968	5.141173995	2.73E-07	1.00E-05	891.305459	1678.622846	0.913286274	4.455401572	FALSE	TRUE	15	2.188834775
a4-8-110_07260	1469621	1470715	inference=ab initio prediction:Prodigal:2.6.3	105.003733	116.9963579	107.2346189	32.20536697	27.92024812	31.5459105	760.2262839	-1.843893943	0.153192269	-12.03646867	2.29E-33	3.36E-31	109.7449033	30.5571752	-1.844570853	4.452147693	FALSE	FALSE	16	2.160806051
a4-8-110_02925	602343	603569	"E2.6.1.42, ilvE"	39.47735277	40.47851473	40.31993246	48.41246089	49.0270803	48.03956538	814.0232805	0.274401534	0.172725868	1.588653377	0.11213867	0.414855629	40.09193332	48.49303552	0.274465576	4.418817276	FALSE	TRUE	17	2.134477112
a4-8-110_03650	732013	732600	pilA	1149.597044	1133.325501	1190.230759	1750.386247	1673.147263	1742.444952	14166.88149	0.57279329	0.164885025	3.473895165	0.000512961	0.00770489	1157.717768	1721.992821	0.572795536	4.338955317	FALSE	TRUE	18	2.109653529
a4-8-110_00905	171972	172769	"PTS-Gam-EIID, agaD"	849.9069799	981.3237954	881.5484079	140.4697395	132.0624031	164.310684	3913.118819	-2.634459073	0.224972155	-11.71015616	1.13E-31	1.39E-29	904.2597277	145.6142755	-2.634585414	4.309352876	FALSE	FALSE	19	2.086172433
a4-8-110_04845	991671	992792	E4.1.1.82	706.1345932	795.6026036	763.6321812	1345.30741	1419.079106	1400.304403	7872.440902	0.878449972	0.102429876	8.576110837	9.81E-18	7.47E-16	755.123126	1388.230306	0.878463124	4.296039635	FALSE	TRUE	20	2.063896038
a4-8-110_04880	998187	999647	gene=RfbX	252.1576885	265.7605776	281.9950623	470.0930713	495.7580836	474.8711992	3066.822625	0.848843793	0.183070549	4.636703169	3.54E-06	9.20E-05	266.6377761	480.2407847	0.84887674	4.278747559	FALSE	TRUE	21	2.042706739
a4-8-110_04920	1006857	1008032	gene=SkfB	702.9274265	760.7106774	709.0081504	1231.838322	1302.305283	1234.411493	7194.733293	0.794557454	0.135284599	5.87322917	4.27E-09	2.05E-07	724.2154181	1256.185033	0.794558189	4.256810606	FALSE	TRUE	22	2.022503353
a4-8-110_03945	797052	798938	frdA	1450.382101	1373.16628	1453.996133	761.1916837	743.5642772	825.0140627	20705.22618	-0.876591354	0.21864773	-4.009149128	6.09E-05	0.001245842	1425.848171	776.5900079	-0.876595318	4.247858552	FALSE	FALSE	23	2.003198198
a4-8-110_10320	2029514	2032105	inference=ab initio prediction:Prodigal:2.6.3	185.7138019	182.2951329	189.4697639	146.564499	145.4949449	143.0479218	3896.913143	-0.357564207	0.133752662	-2.673324033	0.007510367	0.06686649	185.8262329	145.0357886	-0.357545241	4.2124608	FALSE	FALSE	24	1.984714792
a4-8-110_04990	1021979	1023490	inference=ab initio prediction:Prodigal:2.6.3	34.03151842	38.17544179	37.40847393	60.2835058	61.96841717	60.36307908	898.7361991	0.736096881	0.117516366	6.263781837	3.76E-10	2.07E-08	36.53847805	60.87166735	0.736354342	4.208713481	FALSE	TRUE	25	1.966986025
a4-8-110_04820	986537	987721	glf	365.3430065	389.8918443	411.5076083	737.9085802	751.1513453	703.4782004	3948.840056	0.910094738	0.21288663	4.27502064	1.91E-05	0.000439575	388.914153	730.846042	0.910115787	4.208069705	FALSE	TRUE	26	1.949952686
a4-8-110_04890	1000486	1001475	inference=ab initio prediction:Prodigal:2.6.3	420.5437078	433.9772924	440.6092487	831.3515575	871.4028882	794.9062976	3267.932512	0.947468454	0.237794205	3.984405149	6.76E-05	0.001357907	431.710083	832.5535811	0.947480335	4.206369522	FALSE	TRUE	27	1.93356227
a4-8-110_08550	1714401	1714955	gene=AcrR	57.98330793	60.31527846	62.2347593	94.79448926	100.7747843	99.35436529	667.5088571	0.707717011	0.147268901	4.805610725	1.54E-06	4.43E-05	60.1777819	98.30787962	0.708076126	4.200211279	FALSE	TRUE	28	1.917768002
a4-8-110_06220	1276224	1276718	inference=ab initio prediction:Prodigal:2.6.3	32.16719182	31.86398397	30.92796593	23.80249016	23.43359862	24.32815005	175.7137484	-0.40746461	0.178024326	-2.288814233	0.022090148	0.149159165	31.65304724	23.85474628	-0.408068053	4.169922783	FALSE	FALSE	29	1.902528036
a4-8-110_04900	1002724	1003746	kdgK	966.7360714	999.1392847	971.4811737	1648.818329	1796.810289	1745.229822	8134.618557	0.821451407	0.138613157	5.92621526	3.10E-09	1.56E-07	979.1188433	1730.286147	0.821454757	4.140238148	FALSE	TRUE	30	1.887804779
a4-8-110_04860	994796	995935	aepZ	2082.455881	2134.373998	2014.519563	3600.054864	3766.685665	3473.52786	19572.44605	0.79878394	0.127343086	6.272691869	3.55E-10	2.01E-08	2077.116481	3613.422796	0.798783948	4.128344853	FALSE	TRUE	31	1.87356434
a4-8-110_00915	173586	174056	"PTS-Gam-EIIB, agaB"	1740.311935	1615.777977	1449.386319	193.1741373	191.2939742	197.3094117	4618.509655	-3.046110828	0.251548658	-12.10942983	9.41E-34	1.48E-31	1601.82541	193.9258411	-3.046139947	4.12331851	FALSE	FALSE	32	1.859776055
a4-8-110_01790	375293	376144	ecfT	444.8890738	445.2853304	471.6123189	302.9876105	294.0329443	302.9578304	2118.8208	-0.597546034	0.108387394	-5.513058427	3.53E-08	1.44E-06	453.9289077	299.9927951	-0.597538515	4.102049131	FALSE	FALSE	33	1.846412094
a4-8-110_07445	1512295	1513080	"PTS-Aga-EIIC, agaW"	519.6700951	571.2694285	466.2135293	4984.734676	5317.4987	5996.521842	24447.59586	3.387820576	0.188613707	17.96168807	3.89E-72	2.15E-69	519.0510176	5432.918406	3.387779127	4.093980573	TRUE	TRUE	34	1.833447117
a4-8-110_04885	999683	1000489	licD	401.0545812	448.6992317	432.213892	752.3076391	809.1651789	794.7197667	2697.914198	0.878089128	0.218932218	4.010780755	6.05E-05	0.001245842	427.3225683	785.3975282	0.878097545	4.07488519	FALSE	TRUE	35	1.820857989
a4-8-110_01795	376137	377849	ecfA2	1510.918113	1496.044146	1394.327949	870.4652635	858.4095671	876.5794729	13726.52553	-0.756365597	0.079523808	-9.511184353	1.89E-21	1.66E-19	1467.096736	868.4847678	-0.75639155	4.067506945	FALSE	FALSE	36	1.808623533
a4-8-110_04875	997166	998194	gene=WcaA	660.9032633	678.5154816	651.9151848	1199.008516	1251.010026	1139.122136	5179.496661	0.849900857	0.222017098	3.828087414	0.000129143	0.002337275	663.7779766	1196.380226	0.849903302	4.051156184	FALSE	TRUE	37	1.79672431
a4-8-110_00665	132853	133530	inference=ab initio prediction:Prodigal:2.6.3	97.02970472	95.1577294	94.10250588	113.3185476	112.9963399	111.2443471	796.0756421	0.237702675	0.127758785	1.860558364	0.062806569	0.291338035	95.42998	112.5197449	0.237663711	4.044292726	FALSE	TRUE	38	1.785142437
a4-8-110_01105	213723	214862	"mnmA, trmU"	481.4319249	482.8504173	478.8883198	417.7180428	428.3013603	416.8428023	5071.085162	-0.192585027	0.067489548	-2.853553354	0.004323327	0.044194007	481.0568873	420.9540685	-0.192544685	4.002740096	FALSE	FALSE	39	1.773861427
a4-8-110_04910	1005326	1005982	inference=ab initio prediction:Prodigal:2.6.3	576.0408872	598.3900167	573.0199289	963.172112	1038.250011	1050.445055	2990.88662	0.804443536	0.221808429	3.626749169	0.000287012	0.004800926	582.4836109	1017.289059	0.804440311	3.971877779	FALSE	TRUE	40	1.762866042
a4-8-110_04840	990251	991033	rfbF	1056.808038	1055.304524	1018.638765	1726.497513	1893.250189	1795.902786	7006.27759	0.790623949	0.127732047	6.189707049	6.03E-10	3.17E-08	1043.583776	1805.216829	0.790625713	3.967164337	FALSE	TRUE	41	1.752142177
a4-8-110_07225	1464048	1464404	inference=ab initio prediction:Prodigal:2.6.3	80.28282329	87.42228394	74.57049202	18.56444217	13.09753607	10.65230807	295.6192254	-2.517225981	0.212953338	-11.8205519	3.06E-32	4.22E-30	80.75853308	14.1047621	-2.517432372	3.958903454	FALSE	FALSE	42	1.741676743
a4-8-110_07220	1463011	1463913	inference=ab initio prediction:Prodigal:2.6.3	23.47996892	23.78480743	24.55387833	158.2961149	186.4114435	191.1789961	1897.954044	2.899299664	0.188979696	15.34185799	4.02E-53	1.27E-50	23.93955156	178.6288515	2.899497085	3.947051098	FALSE	TRUE	43	1.731457578
a4-8-110_04835	989197	990249	rfbG	643.8502925	666.7954402	677.8082956	1181.471241	1294.825487	1190.881002	5767.067475	0.883008328	0.178122379	4.957312674	7.15E-07	2.22E-05	662.8180094	1222.392577	0.88302298	3.922287343	FALSE	TRUE	44	1.721473357
a4-8-110_07440	1511784	1512260	"PTS-Aga-EIIB, agaV"	389.1527452	406.9981173	354.3104788	3820.546054	3815.268851	4569.561015	10950.81237	3.407329733	0.163743764	20.80891293	3.59E-96	3.97E-93	383.4871138	4068.45864	3.407232319	3.901980341	TRUE	TRUE	45	1.71171352
a4-8-110_04930	1009060	1010244	gene=RfaB	405.1587465	427.6986801	415.0715468	772.0179503	852.1496725	780.1641437	4559.188946	0.946089264	0.187093076	5.056783952	4.26E-07	1.49E-05	415.9763245	801.4439222	0.946100158	3.900387883	FALSE	TRUE	46	1.702168202
a4-8-110_04945	1013678	1014766	gene=BcsA	186.7697956	206.3146738	195.7062959	420.1500158	473.4610799	431.4172542	2648.893295	1.170162695	0.155176038	7.54087235	4.67E-14	3.33E-12	196.2635884	441.6761166	1.170196278	3.855663911	FALSE	TRUE	47	1.692828176
a4-8-110_07740	1563561	1564910	TC.NSS	12.47748441	13.11282036	15.02723337	63.94164314	75.13284022	77.11383352	636.6359846	2.411120551	0.181628414	13.27501848	3.23E-40	6.49E-38	13.53917938	72.06277229	2.412113855	3.824522632	FALSE	TRUE	48	1.683684796
a4-8-110_11220	2209652	2210497	"licT, bglG"	222.4867416	247.3281282	248.6214933	111.706057	95.55288502	105.8226852	1222.660609	-1.198220799	0.207363436	-5.778361033	7.54E-09	3.47E-07	239.4787877	104.3605424	-1.198321525	3.807777526	FALSE	FALSE	49	1.674729954
a4-8-110_07425	1507982	1508413	"PTS-Aga-EIIA, agaF"	102.6211015	107.9787932	96.88794747	501.7221939	468.9558096	569.073976	2829.423722	2.324366649	0.191071287	12.16491858	4.78E-34	8.12E-32	102.4959474	513.2506598	2.324096709	3.803345679	TRUE	TRUE	50	1.665956029
a4-8-110_04865	995985	996314	"ascC, ddhC, rfbH"	612.2771012	734.4817795	712.104989	1229.051497	1254.242494	1212.886323	1744.443607	0.84414683	0.174565337	4.835707038	1.33E-06	3.91E-05	686.2879566	1232.060105	0.844186695	3.800894511	FALSE	TRUE	51	1.657355858
a4-8-110_07355	1492548	1493687	"nagA, AMDHD2"	154.3022767	158.3743481	140.0478758	350.4668734	344.3763792	389.5999916	8433.566077	1.260303007	0.247825572	5.085443747	3.67E-07	1.33E-05	150.9081669	361.4810814	1.26024926	3.800852635	TRUE	TRUE	52	1.64892269
a4-8-110_04870	996517	997164	gene=WbbJ	928.956991	948.8927763	913.0161536	1568.110715	1720.267842	1575.48335	4373.629874	0.801386548	0.254445783	3.149537554	0.001635291	0.021476145	930.2886403	1621.287302	0.801389453	3.778136634	FALSE	TRUE	53	1.640650164
a4-8-110_07460	1514662	1515390	"nagB, GNPDA"	313.6039936	370.4596167	276.3165381	878.8187919	899.9363053	992.7770297	5787.037588	1.529147942	0.161778037	9.452135595	3.32E-21	2.82E-19	320.1267161	923.8440423	1.529006243	3.769873453	FALSE	TRUE	54	1.632532274
a4-8-110_06730	1380668	1381423	pstB	34.25322212	36.84374033	35.11408752	46.75489139	46.030283	46.00588839	208.1379992	0.386057051	0.173316622	2.227466969	0.025916081	0.162103986	35.40368332	46.26368759	0.385980802	3.767601633	FALSE	TRUE	55	1.624563344
a4-8-110_01115	215498	216490	"WARS, trpS"	463.1584598	454.8021991	472.3150972	364.9400548	360.1312579	377.0640827	7756.11668	-0.335062969	0.165064734	-2.029888279	0.042367897	0.225962116	463.425252	367.3784651	-0.335069597	3.753213571	FALSE	FALSE	56	1.616738007
a4-8-110_04850	992792	993508	inference=ab initio prediction:Prodigal:2.6.3	2181.82603	2130.778052	2136.035757	3684.34413	3961.479831	3560.995462	12267.09171	0.797304016	0.146346359	5.448061873	5.09E-08	2.04E-06	2149.546613	3735.606474	0.797310087	3.729607882	FALSE	TRUE	57	1.609051178
a4-8-110_07545	1538367	1539131	inference=ab initio prediction:Prodigal:2.6.3	36.47938813	34.43623299	33.81373963	23.74415073	24.09610802	24.33756497	234.0857009	-0.536747181	0.160551557	-3.343145294	0.000828345	0.012112491	34.90978692	24.05927457	-0.537038407	3.717823534	FALSE	FALSE	58	1.60149804
a4-8-110_10500	2067491	2070526	mrcA	464.4552371	494.9547441	472.9117173	658.3415192	632.0437241	664.3703935	23609.29888	0.448638741	0.150841231	2.974244757	0.002937107	0.033601721	477.4405662	651.5852123	0.448632711	3.686548308	FALSE	TRUE	59	1.594074022
a4-8-110_07240	1466144	1466524	inference=ab initio prediction:Prodigal:2.6.3	849.4778137	1012.271367	860.4490984	235.3697682	231.9973465	231.2333699	2947.866477	-1.962216427	0.243425334	-8.060855438	7.58E-16	5.58E-14	907.3994264	232.8668282	-1.962232605	3.673041372	FALSE	FALSE	60	1.586774783
a4-8-110_08145	1638560	1638853	inference=ab initio prediction:Prodigal:2.6.3	31.64028562	31.96083499	30.01228422	52.04264697	52.30018866	47.96708962	149.8785477	0.702286281	0.285623977	2.458779157	0.013941035	0.107167543	31.20446828	50.76997508	0.702222924	3.669259058	FALSE	TRUE	61	1.579596199
a4-8-110_07395	1501297	1502736	gltD	14.14192496	13.45850786	11.36469438	24.14857672	25.60211477	25.14342317	296.428715	0.94379467	0.169783749	5.55880452	2.72E-08	1.15E-06	12.98837573	24.96470489	0.942668827	3.661749458	FALSE	TRUE	62	1.572534344
a4-8-110_07450	1513070	1513933	"PTS-Aga-EIID, agaE"	421.0569015	482.3117499	414.0868674	4167.66554	4359.332445	5223.724974	22734.00966	3.383711007	0.181802221	18.61204441	2.57E-77	1.89E-74	439.1518396	4583.57432	3.383681314	3.658919061	TRUE	TRUE	63	1.565585484
a4-8-110_07265	1470708	1471922	inference=ab initio prediction:Prodigal:2.6.3	80.01040305	95.84304715	85.40881087	26.33089254	25.7547561	28.88671423	747.163032	-1.689613611	0.176360158	-9.580472313	9.66E-22	8.89E-20	87.08742036	26.99078762	-1.689997262	3.649949449	FALSE	FALSE	64	1.55874606
a4-8-110_01780	373128	373976	inference=ab initio prediction:Prodigal:2.6.3	684.2512677	654.6747891	685.3126675	479.9397862	484.6551155	443.3513518	2940.714812	-0.523853724	0.112212367	-4.668413457	3.04E-06	8.27E-05	674.7462414	469.3154178	-0.523787179	3.624325769	FALSE	FALSE	65	1.552012677
a4-8-110_05970	1228581	1231019	feoB	37.24622211	39.86750527	42.23761803	59.5794188	62.52713405	60.09393251	1466.27663	0.610123831	0.15879074	3.842313678	0.00012188	0.002261436	39.7837818	60.73349512	0.610311973	3.599408058	FALSE	TRUE	66	1.545382098
a4-8-110_00700	137988	140045	enr	501.0322706	496.6566998	472.7576053	277.4282586	248.6552829	300.8529739	6807.241456	-0.830322785	0.13009751	-6.382311138	1.74E-10	1.01E-08	490.1488586	275.6455051	-0.830405887	3.597787869	FALSE	FALSE	67	1.538851231
a4-8-110_04940	1011426	1012472	inference=ab initio prediction:Prodigal:2.6.3	225.9586354	222.2834863	238.6356224	410.5119655	464.7135415	424.4333048	2897.196455	0.919749642	0.086668405	10.61228302	2.61E-26	2.88E-24	228.959248	433.2196039	0.92000769	3.561608988	FALSE	TRUE	68	1.532417121
a4-8-110_05060	1034175	1037027	gene=HisJ	1704.602141	1660.711536	1737.120193	2059.005608	2045.111977	2002.68479	63435.11258	0.259229556	0.129892294	1.995726984	0.045963648	0.237676195	1700.81129	2035.600792	0.259231579	3.559828766	FALSE	TRUE	69	1.526076943
a4-8-110_09280	1822511	1823104	inference=ab initio prediction:Prodigal:2.6.3	284.0024436	293.7814125	280.7131883	202.3487156	182.1099428	201.0006696	3047.084172	-0.552159705	0.222623558	-2.480239331	0.013129422	0.103534873	286.1656815	195.1531093	-0.552244218	3.550176795	FALSE	FALSE	70	1.519827994
a4-8-110_04895	1001468	1002703	inference=ab initio prediction:Prodigal:2.6.3	221.1720446	233.568153	250.9578344	455.1130963	515.9465724	467.1545574	2126.035251	1.027117572	0.232410691	4.419407601	9.90E-06	0.000240143	235.2326773	479.404742	1.027155693	3.54517981	FALSE	TRUE	71	1.513667685
a4-8-110_01800	377859	378443	mtsT	1383.983661	1459.667724	1488.972365	934.2985989	855.6966479	962.9071941	6961.417862	-0.654271899	0.201660155	-3.244428236	0.001176867	0.016387535	1444.207917	917.634147	-0.654287473	3.523866135	FALSE	FALSE	72	1.507593537
a4-8-110_00745	145034	146482	"EARS, gltX"	471.419187	478.6019239	451.5040157	354.7837954	330.5120152	339.7610266	5264.906092	-0.451230797	0.098985434	-4.558557557	5.15E-06	0.000126362	467.1750422	341.6856124	-0.451293703	3.51048731	FALSE	FALSE	73	1.501603174
a4-8-110_00260	56546	57487	inference=ab initio prediction:Prodigal:2.6.3	10.94256048	10.68754036	10.96806925	14.33171432	15.17751592	15.47524798	126.8958798	0.464490789	0.198625129	2.338529835	0.01935978	0.134846668	10.8660567	14.99482607	0.464636309	3.509962227	FALSE	TRUE	74	1.495694314
a4-8-110_11330	2229332	2230132	ecfT	502.61475	496.8892361	493.9196331	535.5653149	532.1086282	530.2540423	3973.967918	0.097584026	0.142862537	0.683062389	0.49456742	0.816147133	497.8078731	532.6426618	0.097578938	3.508878779	FALSE	TRUE	75	1.48986477
a4-8-110_01890	395482	396774	msmE	90.47980174	89.54224652	82.76455607	49.61153209	43.5341715	51.40840537	1666.406009	-0.861996273	0.21232073	-4.059878061	4.91E-05	0.001042396	87.59553478	48.18470299	-0.862282117	3.497901974	FALSE	FALSE	76	1.484112442
a4-8-110_04935	1010241	1011332	gene=RfaB	528.3796138	544.0256552	543.8616594	1006.279153	1167.802278	1071.952516	6018.974902	1.005960278	0.09445117	10.65058566	1.73E-26	2.01E-24	538.7556428	1082.011316	1.006012607	3.488208267	FALSE	TRUE	77	1.478435309
a4-8-110_03675	740125	742386	tex	4220.172329	4268.77962	4247.572062	5668.839387	5584.99442	5295.359118	76124.06096	0.377788632	0.133545863	2.828905543	0.004670748	0.047091379	4245.508004	5516.397642	0.377789263	3.433455871	FALSE	TRUE	78	1.472831431
a4-8-110_07935	1599694	1600164	inference=ab initio prediction:Prodigal:2.6.3	114.0517279	112.9316765	118.1669358	88.24861666	92.78330485	92.34686023	794.5364237	-0.336449517	0.190572696	-1.765465482	0.077485567	0.328402936	115.0501134	91.12626058	-0.336323634	3.431039473	FALSE	FALSE	79	1.467298942
a4-8-110_03270	661667	662527	inference=ab initio prediction:Prodigal:2.6.3	497.8599985	469.9606925	472.9890947	376.4148878	373.5685134	382.9742913	3182.353125	-0.346759684	0.131998159	-2.627003942	0.008614034	0.074196038	480.2699286	377.6525642	-0.346785897	3.422275522	FALSE	FALSE	80	1.461836047
a4-8-110_04810	982951	984747	inference=ab initio prediction:Prodigal:2.6.3	571.9844501	547.7828336	600.4700818	980.7599505	1071.92997	949.3076723	8750.081004	0.803303657	0.213179084	3.76821047	0.000164422	0.002904351	573.4124552	1000.665864	0.803315172	3.369838462	FALSE	TRUE	81	1.456441015
a4-8-110_01245	244915	246087	livK	224.5489951	225.8000295	246.5629829	341.8627577	369.4906914	345.0035575	4015.311814	0.599996403	0.194727127	3.081216324	0.002061568	0.025429846	232.3040025	352.1190022	0.600049073	3.35197514	FALSE	TRUE	82	1.451112181
a4-8-110_04830	988632	989195	"rfbC, rmlC"	542.3485799	504.7219361	544.3553778	908.7360274	1000.754381	882.8702341	2440.248986	0.811126351	0.192582499	4.211838326	2.53E-05	0.000570702	530.4752979	930.7868808	0.811165304	3.336928526	FALSE	TRUE	83	1.445847941
a4-8-110_00275	59714	60070	inference=ab initio prediction:Prodigal:2.6.3	762.6868212	826.2815869	772.3221497	1008.209643	1015.562796	992.8838816	5792.328108	0.353377277	0.262711682	1.345114443	0.17858828	0.529325461	787.0968526	1005.552107	0.353374767	3.325891704	FALSE	TRUE	84	1.440646748
a4-8-110_04925	1008025	1009056	gene=RfaB	704.4570715	701.663433	642.1277645	1151.837557	1251.12002	1108.864498	6439.551895	0.777831693	0.189160121	4.11202788	3.92E-05	0.000848995	682.749423	1170.607358	0.777829158	3.321223943	FALSE	TRUE	85	1.435507108
a4-8-110_01355	266175	268094	parE	420.9405071	422.9379791	437.5276406	485.7699282	489.1721136	482.0439872	7111.808202	0.185240591	0.109209056	1.696201746	0.08984768	0.357295512	427.1353756	485.6620097	0.18525925	3.318954657	FALSE	TRUE	86	1.430427583
a4-8-110_07250	1467500	1468657	inference=ab initio prediction:Prodigal:2.6.3	48.92185132	59.69886536	51.57950162	12.71829947	15.45250855	18.67775973	562.7427796	-1.773145009	0.192412116	-9.215350063	3.10E-20	2.54E-18	53.40007277	15.61618925	-1.773799266	3.298951608	FALSE	FALSE	87	1.425406781
a4-8-110_07245	1466585	1467496	"PTER, php"	50.90725423	59.42717756	47.05198473	14.71343622	15.08519985	15.02871891	518.8018146	-1.811623598	0.209651934	-8.641101295	5.57E-18	4.39E-16	52.46213884	14.94245166	-1.811859751	3.293008653	FALSE	FALSE	88	1.420443362
a4-8-110_04825	987727	988635	gene=WcaG	373.4763509	349.9869653	372.1824628	615.4131868	689.8783807	607.7521149	2876.672125	0.804065075	0.230241764	3.492264226	0.000478944	0.007243211	365.2152597	637.6812275	0.804088364	3.24826522	FALSE	TRUE	89	1.415536027
a4-8-110_08030	1615474	1619163	inference=ab initio prediction:Prodigal:2.6.3	53.43924428	50.47473331	49.45947694	64.10425048	62.77315659	64.06829247	1893.455018	0.316161161	0.16704448	1.892676492	0.058400904	0.277310101	51.12448484	63.64856651	0.316113621	3.224625091	FALSE	TRUE	90	1.410683524
a4-8-110_10390	2047151	2048350	"patB, malY"	221.940926	220.9292719	217.5108235	200.5979653	194.1514518	195.5575128	2596.158438	-0.161786651	0.104620252	-1.546418094	0.122003627	0.435608633	220.1270071	196.7689766	-0.161833381	3.224410547	FALSE	FALSE	91	1.405884641
a4-8-110_11775	2316186	2318063	ABCF3	363.7307785	361.2761398	368.8853199	332.4688543	339.0419849	335.7636007	3894.052693	-0.119018275	0.20075822	-0.592843844	0.553285663	0.85014248	364.6307461	335.7581466	-0.119013811	3.221362761	FALSE	FALSE	92	1.401138206
a4-8-110_03235	655216	656181	inference=ab initio prediction:Prodigal:2.6.3	3609.557989	3739.330844	3641.724695	2815.45759	2818.598522	3023.648962	41657.31211	-0.344213653	0.223041488	-1.543271864	0.122764827	0.436497163	3663.537843	2885.901691	-0.344215363	3.220291145	FALSE	FALSE	93	1.396443085
