Geneid	Start	End	gene_names	4GB00A11	4GB00A12	4GB00A13	4GB02A11	4GB02A12	4GB02A13	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	M_minus	M-plus	Log2fold	Obs_log(1/p)	Rank	Exp_log(1/p)	GalNAc_gene	Fold	YmN
a4-15-1_12235	30540	31037	inference=ab initio prediction:Prodigal:2.6.3	160.3849086	157.72888	153.1183128	121.6614185	116.7232986	124.8688091	673.4694469	-0.373724619	0.106696572	-3.502686273	0.000460592	0.003773729	157.0773671	121.0845087	-0.37546102	3.458745618	12	2.304992893	FALSE		FALSE
a4-15-1_07315	1396710	1396940	"RP-S18, MRPS18, rpsR"	911.2418309	829.1223882	895.1427578	513.184021	565.5788955	554.7103962	1470.242132	-0.69011993	0.247575729	-2.787510437	0.005311474	0.025321171	878.5023256	544.4911042	-0.690137627	3.444609306	13	2.270230787	FALSE		FALSE
a4-15-1_00375	75606	76409	K07098	111.8872073	119.6761855	110.9072909	68.24825277	74.55809584	64.38449341	547.320329	-0.726572536	0.146305245	-4.966141413	6.83E-07	1.74E-05	114.1568946	69.06361401	-0.725020259	3.427128347	14	2.238046103	FALSE		FALSE
a4-15-1_09445	1824305	1824880	"PDF, def"	1659.757191	1498.6819	1638.172558	906.5879883	985.6390544	992.2266247	4060.80503	-0.733666461	0.117229073	-6.258400239	3.89E-10	3.48E-08	1598.87055	961.4845558	-0.733717549	3.424235592	15	2.20808288	FALSE		FALSE
a4-15-1_11380	2213701	2215914	pbpB	243.4928646	234.5482004	231.1606396	374.2888003	350.8428433	339.1470368	8232.637462	0.585712616	0.137587922	4.257006056	2.07E-05	0.000279755	236.4005682	354.7595601	0.58560806	3.378735701	16	2.180054156	FALSE		TRUE
a4-15-1_03765	691716	692225	"inference=ab initio prediction:Prodigal:2.6.3,protein motif:Pfam:PF01182,similar to AA sequence:Refseq:WP_148977124.1"	9.568909125	11.17689494	10.21948638	41.24335589	36.7137027	46.72924185	113.0767581	2.007956632	0.425260757	4.721706855	2.34E-06	4.73E-05	10.32176348	41.56210015	2.009579079	3.356538044	17	2.153725217	FALSE		TRUE
a4-15-1_01335	268164	268526	inference=ab initio prediction:Prodigal:2.6.3	585.2587339	616.5027455	642.0503397	296.6542855	313.7216917	224.4404678	1090.585409	-1.144979806	0.133259349	-8.592116181	8.54E-18	5.16E-15	614.6039397	278.2721483	-1.143160495	3.338699994	18	2.128901634	FALSE		FALSE
a4-15-1_11835	2301913	2302605	inference=ab initio prediction:Prodigal:2.6.3	84.03518172	76.3319024	81.91169345	49.32241154	41.7379078	41.10743132	1157.239564	-0.873593325	0.258699707	-3.376862444	0.000733177	0.005258424	80.75959252	44.05591689	-0.874297839	3.330707639	19	2.105420538	FALSE		FALSE
a4-15-1_03665	680357	680983	"inference=ab initio prediction:Prodigal:2.6.3,protein motif:Pfam:PF13310,protein motif:Pfam:PF13310,similar to AA sequence:Refseq:WP_118348740.1"	198.4747419	200.1894187	195.8858903	109.9400981	119.2284246	89.63154234	664.9320564	-0.901048041	0.135296599	-6.659798137	2.74E-11	3.49E-09	198.1833503	106.2666883	-0.899146342	3.318196155	20	2.083144143	FALSE		FALSE
a4-15-1_05440	1011923	1015615	"purL, PFAS"	51.49280559	61.15423085	55.40894125	101.5005646	93.30551818	93.73744844	2080.56321	0.77931849	0.145533904	5.354893048	8.56E-08	3.14E-06	56.01865923	96.18117707	0.779847128	3.313596372	21	2.061954844	FALSE		TRUE
a4-15-1_00565	117650	118588	"inference=ab initio prediction:Prodigal:2.6.3,protein motif:Pfam:PF10112,similar to AA sequence:Refseq:WP_124762378.1"	723.9659329	752.9870549	770.7982654	504.4992248	557.4369404	546.4394426	4875.416255	-0.48312288	0.107323899	-4.501540516	6.75E-06	0.000111683	749.2504177	536.1252026	-0.482878027	3.264885993	22	2.041751458	FALSE		FALSE
a4-15-1_01255	248661	249089	K07491	106.551699	93.01052432	95.87177018	56.22526512	55.3713604	57.87768839	280.9615628	-0.799064393	0.172505157	-4.632118872	3.62E-06	6.94E-05	98.47799783	56.49143797	-0.801769206	3.255482256	23	2.022446303	FALSE		FALSE
a4-15-1_07390	1411294	1412127	"hemK, prmC, HEMK"	48.9574763	50.16737232	45.91896209	66.61569565	71.87614995	67.78359157	779.9665543	0.507942117	0.167723419	3.028450769	0.002458111	0.01353361	48.3479369	68.75847906	0.508083304	3.255383099	24	2.003962897	FALSE		TRUE
a4-15-1_06120	1165117	1166184	"inference=ab initio prediction:Prodigal:2.6.3,protein motif:Pfam:PF01757,similar to AA sequence:Refseq:WP_046517739.1"	109.2092072	112.1896527	121.2596726	52.02012188	65.41725494	51.7904571	649.7497799	-1.020360374	0.151423179	-6.738468826	1.60E-11	2.16E-09	114.2195108	56.40927797	-1.017804735	3.250228144	25	1.98623413	FALSE		FALSE
a4-15-1_03835	704190	704618	K07491	149.3998912	143.7676962	137.8651902	100.4593599	87.94274887	89.40035797	429.1432442	-0.632235635	0.163538739	-3.865968637	0.000110649	0.001147807	143.6775925	92.60082225	-0.633738172	3.230606883	26	1.969200791	FALSE		FALSE
a4-15-1_12195	22421	22792	inference=ab initio prediction:Prodigal:2.6.3	75.21368355	66.80898813	63.65679364	35.33956906	33.80594916	33.67099535	134.8880505	-0.996455828	0.194270671	-5.129213902	2.91E-07	8.90E-06	68.55982177	34.27217119	-1.000325767	3.220324826	27	1.952810375	FALSE		FALSE
a4-15-1_07680	1469834	1470859	queA	225.2983799	241.564727	262.7171927	372.0278112	379.8347705	356.3064972	2869.366534	0.60222775	0.116710773	5.160001357	2.47E-07	7.75E-06	243.1934332	369.389693	0.603039339	3.219388932	28	1.937016107	FALSE		TRUE
a4-15-1_00170	35274	36368	"afuA, fbpA"	315.389497	315.8804861	293.1391801	100.5352858	159.1277415	126.9415709	992.6970089	-1.258226222	0.216213577	-5.819367301	5.91E-09	3.40E-07	308.1363877	128.8681994	-1.257672764	3.194907762	29	1.921776141	FALSE		FALSE
a4-15-1_09925	1927780	1927968	PspC	160.9500641	161.0537337	158.2645095	110.081904	90.93621458	90.31905143	190.8997804	-0.719599905	0.183192043	-3.928117684	8.56E-05	0.000932105	160.0894358	97.11239	-0.721150831	3.184011193	30	1.907052884	FALSE		FALSE
a4-15-1_01660	325089	326264	inference=ab initio prediction:Prodigal:2.6.3	116.0555704	129.224294	133.1502955	66.00377898	55.01324131	68.61901959	704.1129309	-0.996176566	0.14638252	-6.805297292	1.01E-11	1.62E-09	126.1433866	63.21201329	-0.996793901	3.160004498	31	1.892812445	FALSE		FALSE
a4-15-1_02955	544031	545035	PurR	400.2850831	447.3960907	457.6088374	752.7782281	684.613639	772.5036263	8597.198839	0.759515821	0.213875274	3.551209103	0.000383466	0.003252058	435.0966704	736.6318311	0.759607763	3.153349804	32	1.87902416	FALSE		TRUE
a4-15-1_05465	1020146	1021405	purD	90.88944794	106.3135602	106.9184669	183.4496785	214.9199803	203.3938119	1478.947118	0.982684942	0.127591712	7.701792916	1.34E-14	4.05E-12	101.373825	200.5878236	0.984548839	3.141867101	33	1.865660199	FALSE		TRUE
a4-15-1_08830	1698889	1699302	TC.BAT1	164.6360862	163.0206821	154.9021706	59.09078794	87.41641412	80.85875553	369.6382724	-1.087229726	0.201569766	-5.393813498	6.90E-08	2.60E-06	160.8529796	75.78865253	-1.085688898	3.141675058	34	1.852695222	FALSE		FALSE
a4-15-1_03635	674136	674522	IbpA	1284.978394	1630.527022	1355.82997	400.5484665	446.9955959	450.5450356	7335.664046	-1.718371489	0.339035962	-5.068404771	4.01E-07	1.15E-05	1423.778462	432.696366	-1.718297773	3.128001272	35	1.840106094	FALSE		FALSE
a4-15-1_03140	582120	582431	inference=ab initio prediction:Prodigal:2.6.3	3249.25804	3191.755796	3424.147428	4519.138993	4204.925538	4467.595562	6342.508149	0.419215243	0.217176807	1.930294715	0.053570332	0.142913346	3288.387088	4397.220031	0.419211591	3.120729112	36	1.827871638	FALSE		TRUE
a4-15-1_08170	1563612	1564043	"inference=ab initio prediction:Prodigal:2.6.3,protein motif:Pfam:PF11687"	826.1601216	884.8530394	905.8994581	579.7823358	635.2596941	603.49548	1873.276867	-0.525457137	0.144585628	-3.634227988	0.000278814	0.002477552	872.3042064	606.17917	-0.525087069	3.119738962	37	1.815972415	FALSE		FALSE
a4-15-1_07495	1432862	1435123	tex	1323.737168	1531.700064	1463.121425	2333.619567	2675.958577	2541.325902	45858.25817	0.806052336	0.144751396	5.56852892	2.57E-08	1.24E-06	1439.519552	2516.968015	0.806099499	3.113980514	38	1.804390542	FALSE		TRUE
a4-15-1_09010	1728918	1729463	AcrR	232.9836592	188.3368209	226.3984876	89.61020588	88.03580998	84.86020766	1315.818729	-1.302792738	0.28555366	-4.562339492	5.06E-06	9.26E-05	215.9063226	87.50207451	-1.303016366	3.107085433	39	1.793109532	FALSE		FALSE
a4-15-1_01885	351820	352131	"inference=ab initio prediction:Prodigal:2.6.3,similar to AA sequence:Refseq:WP_065532019.1"	5.735211559	5.846375814	5.44725967	3.663968698	3.13499614	2.842207912	17.0728446	-0.819292393	0.466246939	-1.757207017	0.07888253	0.18747205	5.676282348	3.21372425	-0.820700208	3.106736785	40	1.782114147	FALSE		FALSE
a4-15-1_00695	144050	145042	IDH3	471.4687289	488.0487411	532.6267968	1123.011941	957.2927878	966.2476494	6391.381111	1.029670084	0.147313706	6.989642113	2.76E-12	5.12E-10	497.3814223	1015.517459	1.029790515	3.095554902	41	1.771390282	FALSE		TRUE
a4-15-1_03565	661258	662322	HipB	119.7506299	124.1737286	137.0274793	67.73078362	62.19024939	75.35453766	766.5479525	-0.891559927	0.139346943	-6.398130503	1.57E-10	1.52E-08	126.9839459	68.42519022	-0.892046669	3.092173507	42	1.760924848	FALSE		FALSE
a4-15-1_03630	673591	674001	IbpA	4854.02123	6321.83126	5952.680543	1491.946659	1688.334355	1743.331498	26456.57289	-1.798631823	0.364744982	-4.931203757	8.17E-07	2.04E-05	5709.511011	1641.204171	-1.798612466	3.091046275	43	1.750705683	FALSE		FALSE
a4-15-1_10360	2011292	2012101	inference=ab initio prediction:Prodigal:2.6.3	41.973252	43.349794	40.8450325	35.42379219	35.36408345	35.58023238	207.6379126	-0.246270185	0.17592728	-1.3998408	0.161560997	0.312894976	42.05602617	35.45603601	-0.246281286	3.087975118	44	1.740721462	FALSE		FALSE
a4-15-1_06440	1232664	1234259	panF	99.17250992	96.28937008	83.91237301	141.8203824	150.5875697	156.4763676	1758.692415	0.684851502	0.141835687	4.828485104	1.38E-06	3.20E-05	93.124751	149.6281066	0.684144633	3.060630627	45	1.730961625	FALSE		TRUE
a4-15-1_12390	59315	59764	inference=ab initio prediction:Prodigal:2.6.3	350.6473588	385.5879729	395.0497973	192.0505833	120.7899084	161.8353185	860.2644495	-1.251592134	0.175285798	-7.140294017	9.31E-13	2.25E-10	377.095043	158.2252701	-1.252948156	3.049622325	46	1.721416307	FALSE		FALSE
a4-15-1_03875	711302	711862	chrA	73.36163662	71.53212761	79.37269063	18.74697995	34.87054531	29.63799695	188.1531892	-1.434634754	0.229714245	-6.245301647	4.23E-10	3.65E-08	74.75548495	27.75184074	-1.42959597	3.047078482	47	1.712076281	FALSE		FALSE
a4-15-1_11045	2143829	2145337	oppB	234.1434066	263.7436119	234.4148241	420.2186033	374.7464515	382.4888584	5632.06431	0.685080435	0.170771679	4.011674768	6.03E-05	0.000693904	244.1006142	392.4846377	0.685160261	3.009095818	48	1.702932901	FALSE		TRUE
a4-15-1_01345	270134	271261	"pflA, pflC, pflE"	83.21048724	87.72673496	86.38349377	74.48770407	73.82963555	73.50433441	908.7051253	-0.215077218	0.103634224	-2.07534934	0.03795417	0.112696841	85.77357199	73.94055801	-0.214167271	3.005429592	49	1.693978059	FALSE		FALSE
a4-15-1_10675	2077215	2078228	"galE, GALE"	639.6164611	746.5372193	771.7789238	1615.866565	1404.616073	1370.928055	10203.35222	1.024833701	0.151195296	6.778211523	1.22E-11	1.84E-09	719.3108681	1463.803564	1.025034656	2.995563677	50	1.685204134	FALSE		TRUE
a4-15-1_05635	1055298	1056683	K07133	140.3716164	153.9798721	144.6943088	81.07680692	93.65825204	97.97004546	1349.932537	-0.68784179	0.105898951	-6.495265405	8.29E-11	8.71E-09	146.3485991	90.90170147	-0.687029732	2.993426447	51	1.676603963	FALSE		FALSE
a4-15-1_07255	1385793	1386620	glcT	394.1049988	418.9796754	405.1813845	149.2456583	204.5341581	229.1890554	1604.152457	-1.06351322	0.181706433	-5.852920037	4.83E-09	2.92E-07	406.0886862	194.3229573	-1.063338483	2.992439069	52	1.668170795	FALSE		FALSE
a4-15-1_10565	2047927	2048655	"inference=ab initio prediction:Prodigal:2.6.3,protein motif:Pfam:PF12695,similar to AA sequence:Refseq:WP_074791422.1"	180.7460612	178.9039117	140.0356708	286.8088354	276.7790596	294.0691001	1654.248441	0.780046596	0.197610682	3.947390829	7.90E-05	0.000868005	166.5618812	285.885665	0.779380013	2.960859355	53	1.659898269	FALSE		TRUE
a4-15-1_02560	463868	465181	K07133	113.1519863	104.460587	105.456294	81.77844291	74.11924339	78.28400971	1643.56874	-0.463372399	0.154292732	-3.003203023	0.002671541	0.014477838	107.6896224	78.06056534	-0.464213414	2.958827852	54	1.651780379	FALSE		FALSE
a4-15-1_04445	828384	829115	"pyrB, PYR2"	94.22499586	99.36442828	108.3498645	231.7550299	295.6881371	255.6123378	562.3993457	1.373017793	0.146881423	9.347797432	8.95E-21	1.08E-17	100.6464295	261.0185016	1.374856079	2.957871909	55	1.643811449	FALSE		TRUE
a4-15-1_09425	1820330	1821178	"inference=ab initio prediction:Prodigal:2.6.3,protein motif:Pfam:PF01887,similar to AA sequence:Refseq:WP_102343417.1"	135.2721405	122.3297328	135.0561097	178.6773824	186.9666754	173.3847258	1229.606229	0.457325892	0.135091498	3.38530478	0.000710993	0.005116837	130.8859943	179.6762612	0.457089086	2.954239024	56	1.635986112	FALSE		TRUE
a4-15-1_07335	1400324	1401658	dnaB	212.0212224	220.1521787	245.0230444	343.0331	335.5643509	372.2270448	3280.734194	0.633595107	0.130267352	4.863805827	1.15E-06	2.73E-05	225.7321485	350.2748319	0.633875431	2.944554111	57	1.628299283	FALSE		TRUE
a4-15-1_00915	184426	185124	rlmB	59.57638414	58.2253866	56.89464005	78.66367818	88.75633463	87.37654624	405.9695959	0.544706196	0.167314707	3.255578708	0.001131615	0.007452627	58.23213693	84.93218635	0.544495827	2.920598565	58	1.620746145	FALSE		TRUE
a4-15-1_00210	42868	43185	"PTS-Cel-EIIB, celA, chbB"	102.8206367	115.7968493	107.2459224	71.53726055	75.13850588	66.22880701	171.6010904	-0.616699231	0.194262484	-3.174566792	0.001500604	0.009090122	108.6211361	70.96819115	-0.614060418	2.91444032	59	1.613322127	FALSE		FALSE
a4-15-1_10870	2104315	2104854	lepB	219.305221	209.6412927	202.8963002	130.616413	147.2353425	153.1318463	664.9725133	-0.551135064	0.10510305	-5.243759009	1.57E-07	5.51E-06	210.6142713	143.6612006	-0.55193272	2.901226109	60	1.606022888	FALSE		FALSE
a4-15-1_09270	1787105	1789582	"inference=ab initio prediction:Prodigal:2.6.3,protein motif:Pfam:PF13676,similar to AA sequence:Refseq:WP_117978787.1"	212.3000347	249.7697735	233.0530253	422.4334119	372.5039067	436.0931043	7144.075583	0.82438775	0.147758539	5.579290073	2.42E-08	1.19E-06	231.7076112	410.3434743	0.824526575	2.890916577	61	1.598844304	FALSE		TRUE
a4-15-1_01275	253252	254613	"inference=ab initio prediction:Prodigal:2.6.3,protein motif:Pfam:PF02449,protein motif:Pfam:PF16116,similar to AA sequence:Refseq:WP_007045497.1"	32.24764529	29.71478456	31.11257153	46.91816834	42.88374834	48.74950003	568.7530011	0.57525002	0.198325125	2.900540316	0.003725199	0.019238902	31.02500046	46.18380557	0.573955825	2.890164112	62	1.591782449	FALSE		TRUE
a4-15-1_11925	2319217	2319867	rluD	338.3366363	318.0212908	317.1091675	473.7697258	550.9833111	535.5007857	2433.652985	0.680758472	0.14325348	4.752125212	2.01E-06	4.27E-05	324.4890315	520.0846075	0.680576628	2.869249292	63	1.584833589	FALSE		TRUE
a4-15-1_08150	1558754	1560868	K20974	253.5059651	256.199798	283.7128577	165.122856	180.1641308	153.3502192	3654.903936	-0.670576638	0.12015817	-5.580782695	2.39E-08	1.19E-06	264.4728736	166.212402	-0.670091723	2.86457707	64	1.577994165	FALSE		FALSE
a4-15-1_04065	749746	750315	AcrR	80.47956201	78.00296152	97.40082553	32.28920626	34.81024286	38.30997086	319.146385	-1.280227552	0.180285087	-7.101128409	1.24E-12	2.49E-10	85.29444969	35.13647333	-1.279482471	2.859667713	65	1.571260782	FALSE		FALSE
a4-15-1_02490	452077	452340	inference=ab initio prediction:Prodigal:2.6.3	1193.540184	1046.767015	1216.29055	612.7154928	722.4741105	647.0221716	1959.807563	-0.802496258	0.146766332	-5.467849804	4.56E-08	1.87E-06	1152.19925	660.7372583	-0.80224162	2.856757105	66	1.564630203	FALSE		FALSE
a4-15-1_03215	589814	590101	inference=ab initio prediction:Prodigal:2.6.3	162.1066237	191.9864558	175.0688733	243.3180546	256.6591483	254.4072145	502.5285992	0.510372615	0.212374497	2.403172801	0.016253505	0.06100112	176.3873176	251.4614725	0.511590542	2.843544496	67	1.558099336	FALSE		TRUE
a4-15-1_01115	219835	221316	"E3.4.21.102, prc, ctpA"	143.1333181	164.1600788	154.4345899	248.7641906	280.2167979	242.0364422	2520.384191	0.738658668	0.115613977	6.389008356	1.67E-10	1.55E-08	153.9093289	257.0058102	0.739720295	2.833225898	68	1.551665226	FALSE		TRUE
a4-15-1_09460	1826618	1827103	"E2.7.7.3A, coaD, kdtB"	437.1376963	463.7583481	457.8746794	295.1982682	331.2148303	343.9422464	1327.971506	-0.486063962	0.139942622	-3.473308949	0.000514083	0.004102118	452.9235746	323.4517816	-0.485716974	2.82828019	69	1.545325048	FALSE		FALSE
a4-15-1_11170	2172705	2173241	ygaC	197.2050601	195.5269766	193.0581863	93.24083919	128.2821406	118.8963846	818.7762287	-0.784047659	0.17674543	-4.436027901	9.16E-06	0.000143818	195.2634077	113.4731215	-0.783071009	2.827638973	70	1.539076099	FALSE		FALSE
a4-15-1_07570	1452475	1453104	PulG	419.8472794	453.3029247	460.9453839	215.0226202	251.2944661	291.1909678	1573.685471	-0.816774042	0.125590312	-6.503479689	7.85E-11	8.62E-09	444.6985293	252.5026847	-0.816528906	2.789069258	71	1.53291579	FALSE		FALSE
a4-15-1_10445	2025152	2025790	pyrE	140.2691264	124.7089601	138.1268198	208.2372745	224.3572288	194.6311953	1065.151986	0.638050535	0.155943058	4.091561005	4.28E-05	0.000525703	134.3683021	209.0752329	0.637829328	2.786073137	72	1.526841642	FALSE		TRUE
a4-15-1_03435	630601	631032	"PTS-Aga-EIIA, agaF"	9489.54477	10052.43721	9268.552678	13990.45737	14831.24376	16326.1949	28264.77118	0.648061507	0.160741934	4.031689115	5.54E-05	0.000652913	9603.511553	15049.29868	0.648062324	2.781674308	73	1.520851279	TRUE		TRUE
a4-15-1_06945	1324584	1325129	inference=ab initio prediction:Prodigal:2.6.3	301.5082648	312.5723069	274.126858	199.9480061	212.9238195	199.1575687	895.7489095	-0.537525541	0.115340635	-4.660331019	3.16E-06	6.15E-05	296.0691432	204.0097981	-0.537295695	2.772876851	74	1.514942419	FALSE		FALSE
a4-15-1_11710	2276412	2278235	"PTS-Bgl-EIIC, bglF, bglP"	87.40023356	80.06553983	80.44264608	103.3480224	104.6452283	100.393515	1716.648924	0.315605363	0.124095716	2.54324141	0.010982932	0.045222736	82.63613982	102.7955886	0.314933585	2.766935428	75	1.509112875	FALSE		TRUE
a4-15-1_01105	217476	218378	thrB1	207.7078491	232.6799304	209.2905934	281.2954148	300.0430858	286.7513949	1962.297872	0.417688806	0.145555381	2.869621195	0.004109638	0.02070066	216.5594576	289.3632985	0.418118769	2.755163305	76	1.503360547	FALSE		TRUE
a4-15-1_10235	1991734	1992261	inference=ab initio prediction:Prodigal:2.6.3	38669.90093	35218.70078	35285.73047	49696.85565	46606.99012	50888.65069	119938.124	0.431071826	0.316357157	1.362611264	0.173005057	0.328795639	36391.44406	49064.16549	0.431070422	2.75176924	77	1.497683414	FALSE		TRUE
a4-15-1_01615	314558	315643	alr	1758.978727	1980.27408	2055.207937	1239.158262	1015.045933	1048.444961	10410.51464	-0.811061864	0.185513648	-4.371979493	1.23E-05	0.000184841	1931.486915	1100.883052	-0.811050686	2.738137376	78	1.492079536	FALSE		FALSE
a4-15-1_08415	1618618	1619931	"CS, gltA"	178.1462891	166.1478606	168.5748609	232.5465722	223.6338147	211.4005693	2841.522258	0.38082272	0.106201354	3.585855613	0.000335975	0.00291514	170.9563369	222.5269854	0.380352399	2.710156128	79	1.486547048	FALSE		TRUE
a4-15-1_00605	123694	124599	"inference=ab initio prediction:Prodigal:2.6.3,protein motif:Pfam:PF00483,similar to AA sequence:Refseq:WP_006060960.1"	1845.225766	1969.405898	2027.573463	1360.686357	1491.083652	1493.853185	11270.98988	-0.427027781	0.129238228	-3.304190939	0.000952509	0.006439926	1947.401709	1448.541065	-0.426949929	2.701395836	80	1.481084152	FALSE		FALSE
a4-15-1_05600	1049604	1050371	tatC	608.3234624	630.8833276	531.2553477	372.5683671	360.6085293	379.4458587	2683.453546	-0.669954918	0.141555051	-4.732822425	2.21E-06	4.61E-05	590.1540459	370.8742517	-0.670161475	2.694201113	81	1.47568912	FALSE		FALSE
a4-15-1_04080	751856	752722	pstS	9.568909125	11.30838782	10.58540149	15.42670281	17.56713606	17.77117542	145.3085404	0.683705652	0.21893454	3.122877057	0.001790925	0.010426929	10.48756615	16.92167143	0.690192167	2.686696817	82	1.470360286	FALSE		TRUE
a4-15-1_12215	27762	28316	"inference=ab initio prediction:Prodigal:2.6.3,similar to AA sequence:Refseq:WP_112331266.1"	147.7232674	147.4866807	161.0739962	90.21681197	55.89250262	76.89324649	365.624296	-1.031539844	0.260346779	-3.962176322	7.43E-05	0.000829674	152.0946481	74.33418703	-1.03287161	2.682045446	83	1.465096046	FALSE		FALSE
a4-15-1_03700	684527	685087	"inference=ab initio prediction:Prodigal:2.6.3,protein motif:Pfam:PF02586,similar to AA sequence:Refseq:WP_035644026.1"	100.9084962	97.95024292	108.65778	131.0250881	135.2479007	143.2503186	686.5543171	0.413016604	0.141344568	2.922055015	0.003477301	0.018191855	102.5055064	136.5077691	0.413281651	2.678397587	84	1.459894853	FALSE		TRUE
a4-15-1_07690	1472045	1472479	"inference=ab initio prediction:Prodigal:2.6.3,similar to AA sequence:Refseq:WP_135358276.1"	134.9986099	153.8403236	132.317068	75.15936894	89.62073696	71.85885659	298.7918652	-0.834557974	0.177230845	-4.708875456	2.49E-06	4.92E-05	140.3853338	78.87965416	-0.831667092	2.676124004	85	1.454755213	FALSE		FALSE
a4-15-1_07975	1533323	1534777	COG3436	30.0746539	28.52067047	31.7715632	22.31319164	19.9753274	18.89335734	463.9836619	-0.562626281	0.249831285	-2.252024927	0.024320697	0.081643228	30.12229586	20.39395879	-0.562689881	2.672634193	86	1.449675688	FALSE		FALSE
a4-15-1_03980	730407	731414	metN	107.3179739	96.81319949	108.1324277	140.399791	141.6719684	131.6297539	1337.955414	0.406125841	0.129427738	3.137857817	0.001701874	0.010008345	104.087867	137.9005044	0.405825823	2.661985641	87	1.444654886	FALSE		TRUE
a4-15-1_11015	2139637	2139930	inference=ab initio prediction:Prodigal:2.6.3	79.12251049	96.55468628	86.71148045	44.32654376	51.32984934	39.58789592	168.7772513	-0.966156919	0.174720426	-5.529730785	3.21E-08	1.44E-06	87.46289241	45.08142967	-0.956137791	2.649437099	88	1.439691467	FALSE		FALSE
a4-15-1_09570	1852407	1853441	"FARSA, pheS"	165.6576944	182.7373727	190.8088222	229.6256974	233.5604578	232.4019861	2272.359319	0.367080449	0.210301401	1.745496927	0.080898407	0.190576461	179.7346298	231.8627138	0.367402434	2.646384399	89	1.434784132	FALSE		TRUE
